Year,GDP_Growth_%,GDP_PerCapita_USD,Poverty_Rate_%,Unemployment_%
2000,0.599695391,414.6263651,,2.884
2001,3.779906498,410.7004525,,2.876
2002,0.54685953,402.9363856,,2.916
2003,2.932475546,442.8984573,,2.869
2004,5.104299776,463.6627813,,2.844
2005,5.90666608,523.4563124,44.6,2.739
2006,6.4724943,699.8023706,,2.673
2007,6.85072977,840.2014395,,2.642
2008,0.232282745,915.5443547,,2.751
2009,3.306939816,1047.967832,,2.816
2010,8.058473603,1091.518731,,2.793
2011,5.12110612,1096.144998,,2.699
2012,4.568679614,1285.005362,,2.678
2013,3.797848393,1370.878852,,2.762
2014,5.020111002,1482.815663,,2.767
2015,4.967721128,1489.119598,37.7,2.762
2016,4.213517068,1554.126103,,2.757
2017,3.837958174,1667.484472,,3.542
2018,5.647946407,1836.452755,,4.284
2019,5.114158858,1960.408089,,5.014
2020,-0.272766327,1927.66459,44.4,5.613
2021,7.590489473,2061.356221,46.4,5.693
2022,4.859981043,2109.562885,45.5,5.565
2023,5.719992412,1942.588028,,5.409
